Account,CUSIP,TodayRealizedPL,MTDRealizedPL,YTDRealizedPL,Today_FundingInterest,MTDFundingInterest,YTDFundingInterest,TodayCouponInterest,MTDCouponInterest,YTDCouponInterest,TodayCouponPayment,MTDCouponPayment,YTDCouponPayment,TodayPrincipalPaydown,MTDPrincipalPaydown,YTDPrincipalPaydown
66TX99AP,163086AB7,237.499999,237.499999,237.499999,0.000000,0.000000,0.000000,-0.000007,-0.000007,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,21871NAB7,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,23331ABH1,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,252131AL1,0.000000,0.000000,325.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,25470XAL9,0.000000,0.000000,153.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,26884LAK5,0.000000,0.000000,140.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,26885BAD2,0.000000,0.000000,72.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,282914AB6,0.000000,0.000000,1110.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,29082HAA0,0.000000,0.000000,944.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,29355AAK3,0.000000,0.000000,325.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,30063PAC9,0.000000,0.000000,375.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,302301AE6,0.000000,0.000000,1487.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,302301AF3,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,30251GAW7,0.000000,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,317386AA8,0.000000,0.000000,1612.499995,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,33938JAB2,0.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,369604BP7,0.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,369604BQ5,0.000000,0.000000,1465.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,37045XCL8,0.000000,0.000000,130.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,373334KM2,0.000000,0.000000,704.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,38741LAC1,0.000000,0.000000,62.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,393657AK7,0.000000,-16.000000,34.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,395366AB3,0.000000,0.000000,625.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,42703MAD5,0.000000,150.000000,577.500001,0.000000,0.000000,0.000000,0.000000,0.000002,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,43940TAB5,0.000000,0.000000,2015.149998,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,44055PAA4,0.000000,0.000000,50.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,452327AK5,0.000000,0.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,45845PAA6,0.000000,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,46122TAA0,0.000000,0.000000,2148.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,483548AF0,0.000000,446.250000,633.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,48576UAA4,0.000000,0.000000,300.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,53069QAB5,0.000000,5625.000000,5888.750004,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,530715AG6,0.000000,0.000000,625.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,549498AA1,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,55272XAA0,0.000000,0.000000,93.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,565788AB2,0.000000,0.000000,1937.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,594972AC5,0.000000,0.000000,2250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,62913TAJ1,0.000000,0.000000,125.200007,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,62914VAH9,0.000000,0.000000,3450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,65441VAA9,0.000000,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,670704AL9,0.000000,0.000000,375.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,675232AA0,0.000000,125.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,69073TAR4,0.000000,0.000000,400.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,69318FAG3,0.000000,0.000000,138.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,69331CAH1,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,69889MAA0,0.000000,0.000000,160.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,699374AB0,0.000000,48.100000,584.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,703343AB9,0.000000,0.000000,400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,70932AAD5,0.000000,0.000000,325.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,70932AAF0,0.000000,0.000000,498.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,733174AK2,0.000000,0.000000,419.999995,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,74251VAL6,0.000000,0.000000,540.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,744320AM4,0.000000,0.000000,1405.000141,0.000000,0.000000,0.000000,0.000000,0.000000,0.003074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,74526QKW1,0.000000,0.000000,106.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,74526QKX9,0.000000,0.000000,967.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,749772AD1,0.000000,500.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,758075AC9,0.000000,0.000000,1093.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,758075AE5,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,767754AJ3,0.000000,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,81141RAG5,0.000000,2711.630000,18511.630000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,819047AB7,0.000000,496.130000,496.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,83304AAF3,0.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,848637AC8,0.000000,0.000000,442.999995,0.000000,0.000000,0.000000,0.000000,0.000000,0.019989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,85571BBA2,0.000000,0.000000,1029.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,868459AD0,0.000000,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,873379AA9,0.000000,0.000000,750.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,878155AE0,0.000000,0.000000,6399.379982,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,88167AAD3,0.000000,0.000000,381.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,88167AAN1,0.000000,0.000000,307.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,88428LAA0,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,88688TAB6,0.000000,0.000000,447.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,893647BK2,0.000000,0.000000,388.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,89365DAB9,0.000000,0.000000,302.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,89382PAA3,0.000000,0.000000,301.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,90041LAE5,0.000000,0.000000,1875.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,90138VAB3,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,90187BAB7,0.000000,0.000000,9868.129989,0.000000,0.000000,0.000000,0.000000,0.000000,0.009947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,90353TAC4,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,912796CR8,0.000000,0.000000,120.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,912797FN2,0.000000,0.000000,79.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99AP,95790DAD7,0.000000,0.000000,1185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,010685KJ3,0.000000,0.000000,105.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,01728A3Z7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,01728A4B9,0.000000,0.000000,2293.500003,0.000000,0.000000,0.000000,0.000000,0.000000,446.120246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,041807BE7,0.000000,0.000000,-26.250000,0.000000,0.000000,0.000000,0.000000,0.000000,54.680001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,048501JN1,0.000000,3605.000004,3605.000004,0.000000,0.000000,0.000000,0.000000,33.340051,33.340051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,048501JQ4,0.000000,0.000000,3310.500000,0.000000,0.000000,0.000000,0.000000,0.000000,66.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,13049YCK5,0.000000,0.000000,3880.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,13049YEC1,0.000000,0.000000,1639.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66TX99CB,152691AV3,0.000000,0.000000,1280.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
